Athlete, Reaction, Time, 10m, 20m, 30m, 40m, 50m, 60m, 70m, 80m, 90m, 100m
Kareem Streete-Thompson, 0.173, 10.07, 1.627, 1.02, 0.94, 0.90, 0.90, 0.88, 0.88, 0.89, 0.93, 0.93
Jason Gardener, 0.142, 9.93, 1.628, 1.02, 0.92, 0.90, 0.89, 0.87, 0.88, 0.89, 0.89, 0.90
Tim Montgomery, 0.136, 9.90, 1.624, 1.04, 0.93, 0.89, 0.89, 0.86, 0.87, 0.88, 0.89, 0.89
Tim Harden, 0.136, 9.88, 1.594, 1.02, 0.92, 0.90, 0.89, 0.86, 0.87, 0.89, 0.89, 0.91
Dwain Chambers, 0.140, 9.83, 1.590, 1.02, 0.92, 0.90, 0.86, 0.85, 0.87, 0.89, 0.89, 0.90
Bruny Surin, 0.127, 9.71, 1.623, 1.00, 0.91, 0.89, 0.85, 0.85, 0.86, 0.86, 0.86, 0.88
Maurice Greene, 0.132, 9.67, 1.598, 1.03, 0.92, 0.88, 0.86, 0.84, 0.85, 0.85, 0.85, 0.86
Maurice Greene, 0.197, 9.87, 1.743, 1.02, 0.92, 0.90, 0.85, 0.82, 0.83, 0.84, 0.85, 0.90
Tim Montgomery, 0.157, 9.85, 1.703, 1.02, 0.95, 0.90, 0.86, 0.85, 0.84, 0.85, 0.85, 0.87
Maurice Greene, 0.132, 9.82, 1.698, 1.00, 0.92, 0.89, 0.86, 0.85, 0.84, 0.86, 0.86, 0.91
Jon Drummond, 0.131, 9.97, 1.759, 1.02, 0.93, 0.89, 0.87, 0.84, 0.86, 0.87, 0.90, 0.90
Dwain Chambers, 0.140, 9.87, 1.750, 1.03, 0.92, 0.88, 0.85, 0.84, 0.85, 0.85, 0.87, 0.89
Tim Montgomery, 0.104, 9.78, 1.786, 1.03, 0.91, 0.87, 0.84, 0.83, 0.84, 0.84, 0.85, 0.88
Mardy Scales, , 10.32, 1.92, 1.15, 0.93, 0.89, 0.93, 0.87, 0.91, 0.90, 0.92, 0.90
Monzavous Edwards, , 10.25, 2.00, 1.07, 0.97, 0.91, 0.89, 0.85, 0.86, 0.88, 0.89, 0.93
Joshua Johnson, , 10.24, 2.05, 1.07, 0.97, 0.91, 0.87, 0.87, 0.86, 0.88, 0.88, 0.88
Jon Drummond, , 10.18, 1.89, 1.06, 0.97, 0.90, 0.90, 0.89, 0.85, 0.91, 0.92, 0.89
Tim Montgomery, , 10.15, 1.97, 1.10, 0.95, 0.90, 0.89, 0.86, 0.85, 0.89, 0.87, 0.87
Bernard Williams, , 10.11, 1.94, 1.04, 0.97, 0.89, 0.88, 0.84, 0.86, 0.89, 0.88, 0.92
Paul Smith, , 10.84, 2.02, 1.10, 1.02, 0.95, 0.95, 0.95, 0.94, 0.95, 1.00, 0.96
Ronald Hill, , 10.83, 2.02, 1.10, 1.03, 0.97, 0.92, 0.95, 0.93, 0.97, 0.95, 0.99
Jerry Mathis, , 10.78, 2.04, 1.18, 1.02, 0.97, 0.93, 0.90, 0.92, 0.93, 0.94, 0.95
Jerald Watson, , 10.72, 2.00, 1.12, 0.98, 0.94, 0.93, 0.94, 0.90, 0.96, 0.97, 0.98
Garry Jones, , 10.60, 2.00, 1.07, 0.98, 0.92, 0.94, 0.90, 0.91, 0.95, 0.96, 0.97
Earvin Parker, , 10.48, 1.93, 1.15, 0.99, 0.93, 0.92, 0.92, 0.88, 0.92, 0.90, 0.94
Willie Hordge, , 10.48, 2.02, 1.08, 0.97, 0.97, 0.89, 0.89, 0.90, 0.92, 0.93, 0.91
Kenny Neal, , 10.40, 2.00, 1.07, 0.98, 0.91, 0.91, 0.87, 0.88, 0.94, 0.93, 0.91
Carlos Moore, , 10.38, 1.98, 1.02, 0.97, 0.94, 0.90, 0.89, 0.89, 0.95, 0.91, 0.93
Leonard Scott, 0.177, 10.35, 1.803, 1.02, 0.93, 0.90, 0.87, 0.92, 0.87, 0.91, 0.94, 1.01
Tim Montgomery, 0.188, 10.13, 1.792, 1.02, 0.97, 0.87, 0.87, 0.90, 0.84, 0.87, 0.89, 0.92
Bernard Williams, 0.129, 10.04, 1.771, 1.05, 0.93, 0.89, 0.85, 0.88, 0.86, 0.86, 0.90, 0.92
John Capel, 0.146, 10.02, 1.804, 0.99, 0.93, 0.90, 0.85, 0.88, 0.87, 0.87, 0.87, 0.91
Coby Miller, 0.152, 9.99, 1.808, 1.01, 0.93, 0.88, 0.84, 0.88, 0.85, 0.85, 0.88, 0.91
Shawn Crawford, 0.179, 9.93, 1.771, 1.05, 0.91, 0.87, 0.85, 0.86, 0.85, 0.85, 0.86, 0.88
Justin Gatlin, 0.157, 9.92, 1.783, 1.00, 0.93, 0.88, 0.85, 0.87, 0.85, 0.85, 0.87, 0.88
Maurice Greene, 0.126, 9.91, 1.814, 0.98, 0.95, 0.87, 0.87, 0.86, 0.84, 0.86, 0.85, 0.89
Asafa Powell, 0.150, 9.77, 1.740, 1.02, 0.92, 0.86, 0.85, 0.85, 0.84, 0.84, 0.85, 0.85
Otis McDaniel, , 11.11, 2.05, 1.11, 1.03, 0.98, 0.99, 0.95, 0.92, 0.97, 1.03, 1.08
Cedric Harris, , 10.83, 2.00, 1.10, 0.96, 0.97, 0.93, 0.93, 0.92, 1.00, 1.02, 1.00
